,model_type,clf,parameters,split_date,train_start,train_end,test_start,test_end,baseline,p_at_1,recall_at_1,f1_at_1,p_at_2,recall_at_2,f1_at_2,p_at_5,recall_at_5,f1_at_5,p_at_10,recall_at_10,f1_at_10,p_at_20,recall_at_20,f1_at_20,p_at_30,recall_at_30,f1_at_30,p_at_50,recall_at_50,f1_at_50,auc-roc
0,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.2857142857142857,0.010019083969465648,0.019359299377736804,0.15741789354473387,0.011052798982188295,0.02065532357530277,0.06295289855072464,0.011052798982188295,0.018804112554112552,0.20466379895856918,0.07188295165394402,0.10639675160360149,0.34895302773061687,0.24514949109414758,0.28798281257297653,0.3482493208572291,0.3669688295165394,0.35736410097568533,0.35222745382107934,0.6186386768447837,0.4488806831294715,0.5681301044082359
1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.36961451247165533,0.01296119592875318,0.025044173004532534,0.40090600226500567,0.02814885496183206,0.05260420536444015,0.40398550724637683,0.07092875318066158,0.12067099567099568,0.39710210550147157,0.13947201017811706,0.20643794503619134,0.37260894170911146,0.26176844783715014,0.3075054878333567,0.3766223966193782,0.39686704834605596,0.38647978937587113,0.3521821803694314,0.6185591603053435,0.448822986383568,0.6043275555508584
2,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.4580498866213152,0.01606234096692112,0.031036337097641552,0.4450736126840317,0.03125,0.05839958392153949,0.4053442028985507,0.07116730279898219,0.12107683982683982,0.39913968757074936,0.1401876590330789,0.20749720473136002,0.39377475947934354,0.27663804071246817,0.32497314464527577,0.3757923332327196,0.39599236641221375,0.3856280006194827,0.35258964143426297,0.6192748091603053,0.4493422570966998,0.6081913082383161
3,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.42630385487528344,0.01494910941475827,0.028885303833448568,0.44847112117780297,0.03148854961832061,0.05884538227208559,0.4048913043478261,0.07108778625954199,0.12094155844155845,0.39687570749377404,0.13939249363867684,0.20632024951450598,0.39637804187889075,0.27846692111959287,0.3271215730232124,0.379037126471476,0.3994115776081425,0.38895772030354653,0.35249909453096706,0.619115776081425,0.4492268636048927,0.608528191632847
4,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.034013605442176874,0.0011927480916030535,0.00230467849734962,0.10192525481313704,0.00715648854961832,0.013373950516383088,0.23822463768115942,0.041825699745547076,0.07115800865800867,0.11908535204890197,0.041825699745547076,0.061907844406520335,0.14736842105263157,0.10353053435114504,0.12161972817710523,0.30893450045276183,0.3255407124681934,0.3170202880594703,0.4027978993118435,0.707458651399491,0.5133279483037156,0.5764491172154315
5,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.4512471655328798,0.01582379134860051,0.030575401398171623,0.44280860702151753,0.03109096692111959,0.05810238502117542,0.4017210144927536,0.07053117048346055,0.11999458874458874,0.39189495132442836,0.13764312977099236,0.2037309480374272,0.38664402942840975,0.27162849872773537,0.3190883190883191,0.38054633262903714,0.40100190839694655,0.39050642713334366,0.3510050706265846,0.6164917302798982,0.44732287099007617,0.6056312581529617
6,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.43537414965986393,0.015267175572519083,0.02949988476607513,0.4416761041902605,0.03101145038167939,0.05795378557099338,0.40851449275362317,0.07172391857506362,0.12202380952380953,0.4009508716323296,0.1408237913486005,0.20843876890484317,0.3947934352009055,0.27735368956743,0.3258138340105553,0.3778297615454271,0.39813931297709926,0.38771875483970886,0.35213690691778343,0.6184796437659033,0.44876528963766443,0.6081847091204464
7,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.46485260770975056,0.016300890585241732,0.031497272797111474,0.43827859569648925,0.030772900763358778,0.05750798722044729,0.40625,0.07132633587786259,0.12134740259740259,0.3986868915553543,0.14002862595419846,0.20726181368798913,0.3935483870967742,0.2764790076335878,0.3247863247863248,0.3783579837005735,0.39869592875318066,0.3882608022301378,0.3523632741760232,0.6188772264631043,0.4490537733671821,0.6082270894228912
8,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.2698412698412698,0.009462468193384223,0.01828378274564032,0.3272933182332956,0.02298027989821883,0.04294524110260792,0.19021739130434784,0.033396946564885496,0.056818181818181816,0.09508716323296355,0.033396946564885496,0.04943211910786795,0.04753820033955857,0.033396946564885496,0.03923217037971137,0.1489586477512828,0.15696564885496184,0.1528573641009757,0.37377761680550525,0.6564885496183206,0.4763443341795522,0.5360604562236286
9,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10, 'n_jobs': -1}",2013-06-30,2012-01-01,2013-05-01,2013-06-30,2013-12-31,0.2846794639623325,0.42857142857142855,0.015028625954198474,0.029038949066605212,0.42808607021517553,0.030057251908396948,0.05617059216880898,0.40851449275362317,0.07172391857506362,0.12202380952380953,0.3812542449626443,0.1339058524173028,0.1981992585182134,0.3679683078664403,0.25850826972010177,0.30367568072486106,0.36364322366435253,0.38319020356234096,0.37316091063961593,0.3470210068815647,0.6094942748091603,0.4422455573505654,0.5977257552561439
